Library Full Name,Library Number,Survey Year From,Ontario Library Service (OLS) Region (English),Type of Library Service (English),Mailing Address,Street Address,City/Town,Province,Postal Code,Web Site Address
Huron Shores,L0189,2017,Ontario Library Service - North,Public or Union Library,10 Main Street P.O. Box 339 ,10 Main Street ,Iron Bridge,Ontario,P0R1H0,http://www.olsn.ca/huronshores  
Ignace,L0327,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 480 ,36 Main Street ,Ignace,Ontario,P0T1T0,http://www.olsn.ca/ignace/
Innisfil,L0277,2017,Southern Ontario Library Service,Public or Union Library,967 Innisfil Beach Road ,967 Innisfil Beach Road ,Innisfil,Ontario,L9S1V3,www.innisfilidealab.ca
Iroquois Falls,L0278,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 860 ,725 Synagogue Avenue ,Iroquois Falls,Ontario,P0K1G0,www.olsn.on.ca/iroquoisfallsp/
Iskatewizaagegan No. 39 FN,L0438,2017,Ontario Library Service - North,First Nations Library,Indian Bay road P.O. Box 5 ,Indian Bay road P.O. Box 5 ,Shoal Lake,Ontario,P0X1E0,www.shoallake39.com
James Twp,L0280,2017,Ontario Library Service - North,Public or Union Library,19 First Street P.O. Box 218 ,"19 First street, Elk Lake ",Elk Lake,Ontario,P0J1G0,www.olsn.ca/jamestwp
Jocelyn Twp,L0444,2017,Ontario Library Service - North,Contracting Municipality,3670 5th Side Road R .R. #1 ,3670 5th Side Road R .R. #1 ,Hilton Beach,Ontario,P0R1G0,NA
Jogues LSB,L0281,2017,Ontario Library Service - North,Contracting LSB,3B Rue de l'?glise ,3B Rue de l'?glise ,Jogues,Ontario,P0L1R0,n/a
Johnson Twp,L0388,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 160 ,1 Johnson Drive ,Desbarats,Ontario,P0R1E0,www.johnsontwp.ca
Joly Twp,L0282,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 519 ,871 Forest Lake Road ,Sundridge,Ontario,P0A1Z0,
Kapuskasing,L0122,2017,Ontario Library Service - North,Public or Union Library,24 Mundy Avenue ,Mundy Avenue ,Kapuskasing,Ontario,P5N1P9,www.kapuskasinglibrary.ca
"Kawartha Lakes, City of",L0476,2017,Southern Ontario Library Service,Public or Union Library,190 Kent Street West 9000 ,190 Kent Street West ,Lindsay,Ontario,K9V2Y6,www.kawarthalakeslibrary.ca
Kearney & Area,L0123,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 220 ,8 Main Street ,Kearney,Ontario,P0A1M0,www.olsn.ca/kearney
Kenora City,L0485,2017,Ontario Library Service - North,Public or Union Library,24 Main Street South ,,Kenora,Ontario,P9N1S7,www.kenorapubliclibrary.org
Kerns Twp,L0124,2017,Ontario Library Service - North,Contracting Municipality,903303 Hanbury  Road R.R. #2 ,903303 Hanbury Rd ,New Liskeard,Ontario,P0J1P0,harlytwp@parolink.net
"Killaloe, Hagarty & Richards Twp",L0385,2017,Southern Ontario Library Service,Public or Union Library,1 John Street Box 100 ,1 John Street Box 100 ,Killaloe,Ontario,K0J2A0,www.killaloelibrary.ca
Killarney,L1097,2017,Ontario Library Service - North,Contracting Municipality,32 Commissioner Street ,32 Commissioner Street ,Killarney,Ontario,P0M2A0,http://www.municipality.killarney.on.ca
King Twp,L0125,2017,Southern Ontario Library Service,Public or Union Library,1970 King Road P.O. Box 399 ,1970 King Road ,King City,Ontario,L7B1A6,www.kinglibrary.ca
Kingston-Frontenac County,L0213,2017,Southern Ontario Library Service,Public or Union Library,130 Johnson Street ,,Kingston,Ontario,K7L1X8,www.kfpl.ca
Kirkland Lake,L0126,2017,Ontario Library Service - North,Public or Union Library,10 Kirkland Street East ,,Kirkland Lake,Ontario,P2N1P1,www.olsn.ca/kirklandlakepl
Kitchener,L0127,2017,Southern Ontario Library Service,Public or Union Library,85 Queen Street North ,,Kitchener,Ontario,N2H2H1,www.kpl.org
La Nation,L0091,2017,Southern Ontario Library Service,Public or Union Library,4531 Ste. Catherine Street ,4531 Ste. Catherine Street ,St-Isidore,Ontario,K0C2B0,www.nationmunbiblio.ca
La Vallee Twp,L0235,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 99 ,56 Church Road ,Devlin,Ontario,P0W1C0,lavalley@nwonet.net
Lac Ste. Therese LSB,L0236,2017,Ontario Library Service - North,Contracting LSB,C.P. 785 ,,Hearst,Ontario,P0L1N0,
Laird Twp,L0237,2017,Ontario Library Service - North,Contracting Municipality,R.R. #4 ,3 Pumpkin Point Rd. West ,Echo Bay,Ontario,P0S1C0,lairdtownship.ca
Lake of Bays Twp,L0238,2017,Southern Ontario Library Service,Public or Union Library,1014 Dwight Beach Rd ,1014 Dwight Beach Rd ,Dwight,Ontario,P0A1H0,www.lakeofbayslibrary.ca
Lake of The Woods Twp,L0133,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 427 ,211 4th Street ,Rainy River,Ontario,P0W1L0,www.lakeofthewoods.ca
Lambton County,L0239,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",787 Broadway Street P.O. Box 3100 ,787 Broadway Street P.O. Box 3100 ,Wyoming,Ontario,N0N1T0,www.lclibrary.ca
Lanark Highlands,L0330,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 249 ,75 George Street ,Lanark,Ontario,K0G1K0,www.lanarklibrary.ca
Lappe Local Services Board,L1099,2017,Ontario Library Service - North,Contracting LSB,2032A Kam Current Road ,2032A Kam Current Road ,Gorham,Ontario,P7G0K5,https://www.lappe.ca/
Larder Lake Public Library,L0240,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 189 ,69 Fourth Avenue ,Larder Lake,Ontario,P0K1L0,www.larderlakepubliclibrary.ca
Laurentian Hills,L0384,2017,Southern Ontario Library Service,Public or Union Library,34465 Highway 17 RR 1 ,,Deep River,Ontario,K0J1P0,library.laurentianhills.ca
Laurentian Valley Twp,L0383,2017,Southern Ontario Library Service,Contracting Municipality,460 Witt Road ,237 Victoria ,Pembroke,Ontario,K8A4K5,www.laurentianvalleytwsp.on.ca
Leeds and the Thousand Islands Twp,L0477,2017,Southern Ontario Library Service,Public or Union Library,Box  219 ,1 - B  Jessie St. ,Lansdowne,Ontario,K0E1L0,www.ltipl.net
Lennox and Addington County,L0243,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",97 Thomas Street East ,97 Thomas Street East ,Napanee,Ontario,K7R4B9,www.countylibrary.ca
Lincoln,L0433,2017,Southern Ontario Library Service,Public or Union Library,5020 Serena Drive PO Box 460 ,5020 Serena Drive ,Beamsville,Ontario,L0R1B0,www.lincoln.library.on.ca
Local Services Board of Rainbow Country,L0286,2017,Ontario Library Service - North,Contracting LSB,Box 144 ,245 Avery ,Espanola,Ontario,P3E1S5,rainbowctry@hotmail.com
London,L0245,2017,Southern Ontario Library Service,Public or Union Library,251 Dundas St. ,,London,Ontario,N6A6H9,http://www.londonpubliclibrary.ca
"Loring, Port Loring and District Local Services Board",L0497,2017,Ontario Library Service - North,LSB Library,11767 Hwy 522 P.O. Box 82 ,11767 Hwy 522 P.O. Box 82 ,Port Loring,Ontario,P0H1Y0,http://www.olsn.ca/argylecommunitylibrary
M'Chigeeng FN,L0406,2017,Ontario Library Service - North,First Nations Library,Lakeview Drive P.O. Box 296 ,18 Lakeview Drive ,M'Chigeeng First Nation,Ontario,P0P1G0,www.olsn.ca/proofs/mchigeeng
"MacDonald, Meredith & Aberdeen Add'l Twp",L0190,2017,Ontario Library Service - North,Contracting Municipality,208 Church Street P.O. Box 10  ,,Echo Bay,Ontario,P0S1C0,www.echobay.ca
Madawaska Valley Twp,L0496,2017,Southern Ontario Library Service,Public or Union Library,19474 Opeongo Line P.O. Box 970 ,19474 Opeongo Line ,Barry's Bay,Ontario,K0J1B0,www.madawaskavalleylibrary.ca
Madoc Twp,L0193,2017,Southern Ontario Library Service,Contracting Municipality,P.O. Box 503 ,15651 Highway 62 ,Madoc,Ontario,K0K2K0,www.madoc.ca
Magnetawan FN,L0407,2017,Ontario Library Service - North,First Nations Library,10 Hwy 529 Comp 15 R.R. #1     ,10 Hwy 529 Comp 15 R.R. #1     ,Britt,Ontario,P0G1A0,library@magnetawanfirstnation.com
Magnetawan Twp,L0194,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 130 ,4304 N. Sparks St ,Magnetawan,Ontario,P0A1P0,www.magnetawanlibrary.ca
Manitouwadge,L0195,2017,Ontario Library Service - North,Public or Union Library,2 Manitou Rd Community Centre ,2 Manitou Rd ,Manitouwadge,Ontario,P0T2C0,www.olsn.ca/manitouwadge
Marathon,L0196,2017,Ontario Library Service - North,Public or Union Library,22 Peninsula Road P.O. Box 400 ,22 Peninsula Road ,Marathon,Ontario,P0T2E0,http://www.olsn.c/marathon
Markham,L0099,2017,Southern Ontario Library Service,Public or Union Library,6031 Highway 7 ,,Markham,Ontario,L3P3A7,http://www.markhampubliclibrary.ca
Markstay-Warren,L0447,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 50 ,7 Pioneer St. East ,Markstay,Ontario,P0M2G0,www.olsn.ca/markstay-warrenpl
Marmora and Lake Twp,L0463,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 340 ,37 Forsyth Street ,Marmora,Ontario,K0K2M0,www.marmoralibrary.ca/
Mattagami FN,L0428,2017,Ontario Library Service - North,First Nations Library,P.O. Box 99 ,,Gogama,Ontario,P0M1W0,
Mattawa,L0134,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 920 ,370 pine St. ,Mattawa,Ontario,P0H1V0,http://users.efni.com/~mplibrary/
Mattawan Twp,L0461,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 610 ,947 Highway 533 ,Mattawa,Ontario,P0H1V0,n/a
Mattice-Val Cote Twp,L0020,2017,Ontario Library Service - North,Public or Union Library,Route 11 S.P. 129 ,500 Route 11 ,Mattice,Ontario,P0L1T0,www.matticevalcote.ca
"McDougall, Municipality of",L1087,2017,Ontario Library Service - North,Contracting Municipality,5 Barager Blvd. RR #3 ,5 Barager Blvd. RR #3 ,Parry Sound,Ontario,P2A2W9,www.municipalityofmcdougall.com
McGarry Twp,L0199,2017,Ontario Library Service - North,Public or Union Library,70 Government Rd P.O. Box 250 ,70 Government Rd 250 ,Virginiatown,Ontario,P0K1X0,www.olsn.ca/mcgarry
McKellar Twp,L0200,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 10 ,701 Highway 124 ,McKellar,Ontario,P0G1C0,www.mckellarpubliclibrary.on.ca
"McMurrich-Monteith, the Corporation of the Township of",L0201,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 70 ,31 William St ,Sprucedale,Ontario,P0A1Y0,www.mcmurrichmonteith.com
McNab-Braeside Twp,L1028,2017,Southern Ontario Library Service,Contracting Municipality,2508 Russett Drive R.R. 2 ,2508 Russett Drive R.R. 2 ,Arnprior,Ontario,K7S3G8,www.mcnabbraeside.com
Meaford,L0203,2017,Southern Ontario Library Service,Public or Union Library,15 Trowbridge Street West ,,Meaford,Ontario,N4L1V4,www.meafordlibrary.on.ca
Melancthon Twp,L0331,2017,Southern Ontario Library Service,Contracting Municipality,157101 Highway 10 ,157101 Highway No 10 ,Melancthon,Ontario,L9V2E6,www.melancthontownship.ca
Merrickville-Wolford,L0204,2017,Southern Ontario Library Service,Public or Union Library,446 Main St. W P.O. Box 460 ,446 Main St. W P.O. Box 460 ,Merrickville,Ontario,K0G1N0,www.merrickvillelibrary.ca
Michipicoten FN,L0464,2017,Ontario Library Service - North,First Nations Library,"107 Hiawatha Drive P.O. Box 1 RR#1, Site 8 ","107 Hiawatha Drive P.O. Box 1 RR#1, Site 8 ",Wawa,Ontario,P0S1K0,www.michipicoten.com
Middlesex County Library,L0205,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",399 Ridout Street North ,34-B Frank St. ,Strathroy,Ontario,N6A2P1,www.library.middlesex.ca
Midland,L0022,2017,Southern Ontario Library Service,Public or Union Library,320 King Street ,,Midland,Ontario,L4R3M6,www.midlandlibrary.com
Milton,L0434,2017,Southern Ontario Library Service,Public or Union Library,1010 Main Street East ,1010 Main Street East ,Milton,Ontario,L9T6H7,www.mpl.on.ca
Mississauga,L0206,2017,Southern Ontario Library Service,Public or Union Library,301 Burnhamthorpe Road West ,,Mississauga,Ontario,L5B3Y3,www.mississauga.ca/library
Mississauga FN,L0459,2017,Ontario Library Service - North,First Nations Library,P.O. Box 1299 ,148 Village Rd. ,Blind River,Ontario,P0R1B0,www.mississaugi.com
Mississaugas of Scugog Island FN,L0440,2017,Southern Ontario Library Service,First Nations Library,22600 Island Road ,22600 Island Road ,Port Perry ,Ontario,L9L1B6,http://www.scugogfirstnation.com/Page.asp?IdPage=6658&WebAddress=misfn
Mississippi Mills,L0210,2017,Southern Ontario Library Service,Public or Union Library,155 High St. P.O. Box 820 ,155 High Street ,Almonte,Ontario,K0A1A0,http://missmillslibrary.com/
Mohawks of Akwesasne FN,L0408,2017,Southern Ontario Library Service,First Nations Library,P.O. Box 579 ,"321 State Route 37, Akwesasne  N.Y. 13655 ",Cornwall,Ontario,K6H5T3,http://www.akwesasneculturalcenter.org
Mohawks of the Bay of Quinte FN,L0405,2017,Southern Ontario Library Service,First Nations Library,1658 York Road ,1658 York Road ,Tyendinaga Mohawk Territory,Ontario,K0K1X0,http://www.kanhiote.ca
Mono,L0029,2017,Southern Ontario Library Service,Contracting Municipality,347209 Mono Centre Road ,347209 Mono Centre Road ,Orangeville,Ontario,L9W6S3,http://www.townofmono.com
Montague Twp,L0208,2017,Southern Ontario Library Service,Contracting Municipality,P.O. Box 755 ,6547 Roger Stevens Drive ,Smiths Falls,Ontario,K7A4W6,www.township.montague.on.ca
Moonbeam Twp,L0211,2017,Ontario Library Service - North,Public or Union Library,C.P. 370 ,53 Avenue St-Aubin ,Moonbeam,Ontario,P0L1V0,http://www.biblio.moonbeam.ca/
Morley Twp,L0135,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 40 ,11331 Highway #11 ,Stratton,Ontario,P0W1N0,www.townshipofmorley.ca
Mulmur Twp,L0333,2017,Southern Ontario Library Service,Contracting Municipality,758070 2nd Line East ,758070 2nd Line East ,Mulmur,Ontario,L9V0G8,www.mulmurtownship.ca
Muskoka Lakes Twp,L0212,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 189 ,69 Joseph Street ,Port Carling,Ontario,P0B1J0,www.muskoka.com/library
Nairn & Hyman Twp,L0214,2017,Ontario Library Service - North,Contracting Municipality,64 McIntyre Street ,,Nairn Centre,Ontario,P0M2L0,www.nairncentre.ca
Naotkamegwanning FN,L0409,2017,Ontario Library Service - North,First Nations Library,General Delivery ,Northwest Angle Education Authority ,Naotkamegwanning,Ontario,P0X1L0,wbnaea@kmts.ca
"Neebing, Municipality of",L0442,2017,Ontario Library Service - North,Contracting Municipality,4766 Hwy 61 ,4766 Hwy 61 ,Neebing,Ontario,P7L0B5,www.neebing.org
New Credit FN,L0410,2017,Southern Ontario Library Service,First Nations Library,R.R. # 6 ,"Blue #2789, 1st line, Mississauga Road ",Hagersville,Ontario,N0A1H0,
New Tecumseth,L0207,2017,Southern Ontario Library Service,Public or Union Library,17 Victoria Street East P.O. Box 399 ,17 Victoria Street East P.O. Box 399 ,Alliston,Ontario,L9R1V6,www.ntpl.ca
Newmarket,L0019,2017,Southern Ontario Library Service,Public or Union Library,438 Park Avenue ,,Newmarket,Ontario,L3Y1W1,www.newmarketpl.ca
Niagara Falls,L0222,2017,Southern Ontario Library Service,Public or Union Library,4848 Victoria Avenue ,,Niagara Falls,Ontario,L2E4C5,www.nflibrary.ca
Niagara-on-the-Lake,L0223,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 430 ,10 Anderson Lane ,Niagara-on-the-Lake,Ontario,L0S1J0,www.notlpubliclibrary.org
Nipigon Twp,L0225,2017,Ontario Library Service - North,Public or Union Library,Box 728 ,52 Front Street ,Nipigon,Ontario,P0T2J0,http://nipigon.net/content/Nipigon_Public_Library/
Nipissing FN,L0412,2017,Ontario Library Service - North,First Nations Library,36 Semo Road ,24 Semo Road ,Garden Village,Ontario,P2B3K2,www.nfn.ca
Norfolk County,L0480,2017,Southern Ontario Library Service,Public or Union Library,46 Colborne St. South ,Colborne St. S. ,Simcoe,Ontario,N3Y4H3,www.ncpl.ca
North Bay,L0227,2017,Ontario Library Service - North,Public or Union Library,271 Worthington Street East ,,North Bay,Ontario,P1B1H1,www.city.north-bay.on.ca/library/
North Grenville Twp,L0228,2017,Southern Ontario Library Service,Public or Union Library,1 Water P.O. Box 538 ,1 Water Street ,Kemptville,Ontario,K0G1J0,www.ngpl.ca
North Kawartha Twp,L0382,2017,Southern Ontario Library Service,Public or Union Library,175 Burleigh Street Box 335 ,175 Burleigh St. ,Apsley,Ontario,K0L1A0,www.northkawarthalibrary.com
North Perth,L0231,2017,Southern Ontario Library Service,Public or Union Library,216 Winstanley ,216 Winstanley ,Monkton,Ontario,N0K1P0,www.northperth.library.on.ca
North Shore Twp,L0215,2017,Ontario Library Service - North,Contracting Municipality,P.O. Box 108 ,1385 Hwy. 17 ,Algoma Mills,Ontario,P0R1A0,www.townshipofthenorthshore.ca
Northeastern Manitoulin and the Islands,L0232,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 790 ,50 Meredith Street West ,Little Current On,Ontario,P0P1K0,http://www.nemilib.vianet.ca/
O'Connor Twp,L0248,2017,Ontario Library Service - North,Contracting Municipality,R.R. #1 ,330 Hwy 595 ,Kakabeka Falls,Ontario,P0T1W0,www.oconnortownship.ca
Oakville,L0247,2017,Southern Ontario Library Service,Public or Union Library,120 Navy Street ,,Oakville,Ontario,L6J2Z4,www.opl.on.ca
Ojibways of Onigaming FN,L0413,2017,Ontario Library Service - North,First Nations Library,P.O. Box 509 ,"Mikinaak Rd, 212 Mikinaak Onigaming Sch. ",Nestor Falls,Ontario,P0X1K0,www.voyageur.ca/~ojibonig/
Oliver Paipoonge,L0165,2017,Ontario Library Service - North,Public or Union Library,P.O.Box 26 ,1 Baxendale Drive ,Murillo,Ontario,P0T2G0,www.olsn.ca/oplibrary
Opasatika,L0250,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 100 ,6 St Antoine Street ,Opasatika,Ontario,P0L1Z0,https://sites.google.com/site/bibliothequeopasatika/
Orangeville,L0074,2017,Southern Ontario Library Service,Public or Union Library,1 Mill Street ,1 Mill Street ,Orangeville,Ontario,L9W2M2,www.orangeville.library.on.ca
Orillia,L0023,2017,Southern Ontario Library Service,Public or Union Library,36 Mississaga St W ,36 Mississaga St W ,Orillia,Ontario,L3V3A6,http://www.orilliapubliclibrary.ca
Oro-Medonte Twp,L0252,2017,Southern Ontario Library Service,Contracting Municipality,148 Line 7 South ,148 Line 7 South ,Oro-Medonte,Ontario,L0L2E0,www.oro-medonte.ca
Oshawa,L0253,2017,Southern Ontario Library Service,Public or Union Library,65 Bagot Street ,,Oshawa,Ontario,L1H1N2,www.oshawalibrary.on.ca
Otonabee-South Monaghan Twp,L0255,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 9 ,3252 County Road 2 ,Keene,Ontario,K0L2G0,www.otosoumon.library.on.ca
Ottawa,L0481,2017,Southern Ontario Library Service,Public or Union Library,120 Metcalfe Street ,,Ottawa,Ontario,K1P5M2,www. biblioottawalibrary.ca
Owen Sound & North Grey Union,L0256,2017,Southern Ontario Library Service,Public or Union Library,824 First Avenue West ,,Owen Sound,Ontario,N4K4K4,www.owensound.library.on.ca
Oxford County,L0257,2017,Southern Ontario Library Service,"County, County co-operative or Regional Municipality Library",21 Reeve St. P.O. Box 1614 ,21 Reeve St. P.O. Box 1614 ,Woodstock,Ontario,N4S7Y3,http://www.ocl.net
Papineau-Cameron Twp,L0260,2017,Ontario Library Service - North,Contracting Municipality,4861 Hwy 17 P.O. Box 630 ,4861 Hwy 17 P.O. Box 630 ,Mattawa,Ontario,P0H1V0,papineaucameron.ca
Parry Sound,L0095,2017,Ontario Library Service - North,Public or Union Library,29 Mary Street ,29 Mary Street ,Parry Sound,Ontario,P2A1E3,www.parrysoundlibrary.ca
Pelham,L0262,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 830 ,43 Pelham Town Square ,Fonthill,Ontario,L0S1E0,www.pelhamlibrary.on.ca
Pembroke,L0071,2017,Southern Ontario Library Service,Public or Union Library,237 Victoria Street ,,Pembroke,Ontario,K8A4K5,www.pembrokelibrary.ca
Penetanguishene,L0263,2017,Southern Ontario Library Service,Public or Union Library,24 Simcoe Street ,24 Simcoe Street ,Penetanguishene,Ontario,L9M1R6,www.penetanguishene.library.on.ca
Perry Twp,L0202,2017,Ontario Library Service - North,Public or Union Library,25 Joseph P.O. Box 39 ,25 Joseph St ,Emsdale,Ontario,P0A1J0,www.olsn.ca/perrylibrary
Perth and District Union,L0264,2017,Southern Ontario Library Service,Public or Union Library,30 Herriott Street ,,Perth,Ontario,K7H1T2,www.perthunionlibrary.ca
Perth East,L0265,2017,Southern Ontario Library Service,Public or Union Library,19 Mill Street East 190 ,19 Mill Street East ,Milverton,Ontario,N0K1M0,www.pertheast.library.on.ca
Perth South Twp,L0266,2017,Southern Ontario Library Service,Contracting Municipality,3191 Road 122 ,,St. Pauls,Ontario,N0K1V0,www.perthsouth.ca
Petawawa,L0267,2017,Southern Ontario Library Service,Public or Union Library,16 Civic Centre Road ,16 Civic Centre Road ,Petawawa,Ontario,K8H3H5,www.petawawapubliclibrary.ca
Peterborough,L0268,2017,Southern Ontario Library Service,Public or Union Library,345 Aylmer Street North ,,Peterborough,Ontario,K9H3V7,www.peterborough.library.on.ca
Phelps,L0261,2017,Ontario Library Service - North,LSB Library,41 Old Mill Road ,41 Old Mill Road ,Redbridge,Ontario,P0H2A0,http://phelpstownship.ca/Library/Phelps%20Public%20Library%20Redbridge.htm
Pickering,L0340,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 368 ,One The Esplanade ,Pickering,Ontario,L1V6K7,www.picnet.org
Port Colborne,L0024,2017,Southern Ontario Library Service,Public or Union Library,310 King Street ,,Port Colborne,Ontario,L3K4H1,www.portcolbornelibrary.org
Port Hope,L0499,2017,Southern Ontario Library Service,Public or Union Library,31 Queen Street ,,Port Hope,Ontario,L1A2Y8,www.phpl.ca
Powassan & District Union Public Library,L0273,2017,Ontario Library Service - North,Public or Union Library,324 Clark Street P.O. Box 160 ,324 Clark Street ,Powassan,Ontario,P0H1Z0,www.powassanlibrary.com
Prescott,L0274,2017,Southern Ontario Library Service,Public or Union Library,360 Dibble Street West P.O. Box 430 ,360 Dibble Street West ,Prescott,Ontario,K0E1T0,http://www.prescott.ca/library
Prince Edward County,L0276,2017,Southern Ontario Library Service,Public or Union Library,208 Main Street ,,Picton,Ontario,K0K2T0,www.peclibrary.org
Prince Twp Public Library,L0275,2017,Ontario Library Service - North,Public or Union Library,3042 Second Line West RR6 ,3042 Second Line West RR6 ,Prince Township,Ontario,P6A6K4,www.olsn.ca/princetownship
Quinte West,L0285,2017,Southern Ontario Library Service,Public or Union Library,7 Creswell Drive ,7 Creswell Drive ,Trenton,Ontario,K8V6X5,www.library.quintewest.ca
Rainy River,L0131,2017,Ontario Library Service - North,Public or Union Library,Box 308 ,334 4th Street ,Rainy River,Ontario,P0W1L0,www.rainyriverlibrary.com
Rainy River FN,L0446,2017,Ontario Library Service - North,First Nations Library,Box 450 ,,Emo,Ontario,P0W1E0,
Ramara Twp,L0287,2017,Southern Ontario Library Service,Public or Union Library,5482 Highway 12 South P.O. Box 158 ,5482 Highway #12 South ,Ramara,Ontario,L3V0S2,www.ramarapubliclibrary.org
Red Lake,L0290,2017,Ontario Library Service - North,Public or Union Library,12 Fifth St. P.O. Box 280 ,12 Fifth Street ,Balmertown,Ontario,P0V1C0,http://www.olsn.ca/redlake
Red Rock Twp,L0291,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 285 ,42 Salls Street ,Red Rock,Ontario,P0T2P0,www.olsn.ca/redrock
Renfrew,L0292,2017,Southern Ontario Library Service,Public or Union Library,13 Railway Avenue ,13 Railway Avenue ,Renfrew,Ontario,K7V3A9,http://www.renfrew.ca/library-welcome.cfm
Restoule LSB,L0293,2017,Ontario Library Service - North,Contracting LSB,General Delivery ,General Delivery ,Restoule,Ontario,P0H2R0,http://computerfella.wordpress.com/
Richmond Hill,L0294,2017,Southern Ontario Library Service,Public or Union Library,1 Atkinson Street ,1 Atkinson Street ,Richmond Hill,Ontario,L4C0H5,www.rhpl.richmondhill.on.ca
Rideau Lakes Public Library,L0498,2017,Southern Ontario Library Service,Public or Union Library,Box 189 ,24 Halladay Street ,Elgin,Ontario,K0G1E0,www.rideaulakeslibrary.ca
Robinson  LSB,L0297,2017,Ontario Library Service - North,Contracting LSB,20563 Hwy 540 ,20563 Hwy 540 ,Silver Water,Ontario,P0P1Y0,LSB has no website
Rossport LSB,L0299,2017,Ontario Library Service - North,Contracting LSB,P.O. Box 62 ,,Rossport,Ontario,P0T2R0,
Russell,L0300,2017,Southern Ontario Library Service,Public or Union Library,1053 Concession 280 ,1053 Concession 280 ,Russell,Ontario,K4R1E1,www.russellbiblio.com
Sables-Spanish Rivers Twp,L0303,2017,Ontario Library Service - North,Public or Union Library,185 Grove P.O. Box 40 ,185 Grove Street ,Massey,Ontario,P0P1P0,Http://www.masseylibrary.com
Sachigo Lake FN,L1084,2017,Ontario Library Service - North,First Nations Library,General Delivery ,,Sachigo Lake,Ontario,P0V2P0,
Sagamok Anishnawbek FN,L0432,2017,Ontario Library Service - North,First Nations Library,Box 610 ,,Massey,Ontario,P0P1P0,
Saugeen FN,L0415,2017,Southern Ontario Library Service,First Nations Library,"GMB # 3, Site #3 ",812 French Bay Road ,Southampton,Ontario,N0H2L0,
Sault Ste. Marie,L0191,2017,Ontario Library Service - North,Public or Union Library,50 East Street ,,Sault Ste. Marie,Ontario,P6A3C3,www.ssmpl.ca
Schreiber Twp,L0301,2017,Ontario Library Service - North,Public or Union Library,P.O. Box 39 ,314  Scotia Street ,Schreiber,Ontario,P0T2S0,www.schreiberlibrary.ca
Scugog Memorial,L0304,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 1049 ,231 Water Street ,Port Perry,Ontario,L9L1A8,www.scugoglibrary.ca
Seguin Twp,L0321,2017,Ontario Library Service - North,Public or Union Library,15 Humphrey Street ,15 Humphrey Street ,Seguin,Ontario,P2A2W8,www.seguinpubliclibraries.ca
Seine River FN,L0416,2017,Ontario Library Service - North,First Nations Library,P.O. Box 129 ,Learning Centre Road ,Seine River FN,Ontario,P0W1H0,
Selwyn,L0309,2017,Southern Ontario Library Service,Public or Union Library,P.O. Box 500 ,836 Charles Street ,Bridgenorth,Ontario,K0L1H0,www.MyPublicLibrary.ca
Serpent River FN,L0417,2017,Ontario Library Service - North,First Nations Library,49 Village Road  P.O. Box 16 ,,Cutler,Ontario,P0P1B0,www.serpentriverfn.ca
Severn Township Library,L0258,2017,Southern Ontario Library Service,Public or Union Library,31 Coldwater Rd. Box 278 ,31 Coldwater Road ,Coldwater,Ontario,L0K1E0,http:// www.coldwater.library.on.ca/
Shawanaga FN,L0418,2017,Ontario Library Service - North,First Nations Library,2 Church St. R.R. #1 ,2 Church St. ,Nobel,Ontario,P0G1G0,www
Shelburne,L0075,2017,Southern Ontario Library Service,Public or Union Library,201 Owen Sound St. ,201 Owen Sound St. ,Shelburne,Ontario,L9V3L2,www.shelburnelibrary.ca
Sheshegwaning FN,L0419,2017,Ontario Library Service - North,First Nations Library,1125 Sheshegwaning Road ,1125 Sheshegwaning Road ,Sheshegwaning,Ontario,P0P1X0,www.olsn.ca/sheshegwaning/
